Age,Monthly_Income,Credit_Score,Loan_Amount_Requested,Employment_Status,Existing_Debts,Number_of_Previous_Loans,Payment_History,Debt_to_Income_Ratio,Repayment_Status
56,6209,365,26154,Employed,7941,2,Good,0.64,0
69,6007,432,8240,Employed,10712,7,Poor,0.58,0
46,8075,665,40612,Employed,12296,7,Good,0.58,1
32,6273,381,2585,Employed,10899,3,Fair,0.14,0
60,13946,627,11541,Employed,6168,0,Good,0.22,1
25,11964,397,6427,Employed,1329,3,Fair,0.69,0
38,17364,626,27747,Employed,3655,8,Good,0.67,1
56,4820,841,24196,Employed,5553,9,Good,0.2,1
36,12250,424,16620,Employed,14308,0,Good,0.33,0
40,6198,509,10033,Employed,5541,2,Fair,0.15,0
28,19448,432,32070,Self-Employed,3905,7,Poor,0.22,1
28,19724,802,47922,Employed,1080,2,Excellent,0.17,1
41,7558,456,13199,Employed,11797,1,Good,0.1,1
70,2226,681,13776,Employed,823,0,Excellent,0.43,1
53,8197,321,23727,Student,3619,8,Excellent,0.21,1
57,13410,718,3931,Employed,3250,9,Poor,0.69,0
41,10757,771,15843,Employed,2115,2,Good,0.39,1
20,14463,533,6699,Employed,3567,6,Good,0.28,1
39,18166,753,22224,Student,5120,9,Good,0.64,1
70,2581,461,28321,Employed,8239,2,Good,0.45,0
19,12276,600,8636,Employed,1440,7,Excellent,0.13,1
41,15696,605,2860,Employed,11927,8,Excellent,0.37,1
61,10844,301,15989,Self-Employed,944,7,Good,0.34,1
47,17458,570,49005,Employed,3268,4,Excellent,0.55,1
55,13189,720,38135,Employed,11833,9,Excellent,0.5,1
19,18831,442,47422,Student,3119,1,Good,0.29,1
38,6260,834,35939,Unemployed,6072,5,Fair,0.36,1
50,14936,336,37062,Unemployed,10175,7,Excellent,0.39,1
29,1566,406,14801,Employed,8546,1,Fair,0.32,0
39,2064,596,31398,Employed,3305,5,Good,0.12,1
61,14893,396,5747,Employed,12724,6,Excellent,0.64,1
42,5170,580,38160,Self-Employed,4795,8,Good,0.49,0
66,3751,409,6238,Self-Employed,1917,8,Good,0.36,0
44,14449,848,3834,Self-Employed,6769,1,Fair,0.42,1
59,2304,487,49203,Unemployed,12377,0,Poor,0.19,0
45,11083,787,46676,Self-Employed,368,6,Excellent,0.39,1
33,19119,653,27230,Employed,11178,5,Fair,0.53,1
32,13724,318,8116,Employed,1192,9,Good,0.4,1
64,7516,692,3928,Employed,1386,9,Excellent,0.36,1
68,14536,560,29179,Employed,12185,9,Excellent,0.35,1
61,13892,709,23134,Employed,11194,3,Good,0.55,1
72,9438,702,40262,Self-Employed,10088,8,Excellent,0.54,1
69,5641,783,35440,Employed,7344,0,Good,0.54,1
74,11046,603,9190,Self-Employed,2547,6,Fair,0.21,1
20,6835,317,24828,Self-Employed,4799,4,Fair,0.45,0
